Aircraft Number,Airline,Aircraft Type,Part Name,Function,Current Condition,Usage Hours,Last Maintenance Date,Risk of Failure,Predicted Damage,Predicted Time to Failure (hours)
AC-069,British Airways,Airbus A380,Aileron Right,Fuel,Fair,2715,21:03.9,0.159078929,0,420.4605357
AC-070,Emirates,Boeing 777,Spoilers,Fuel,Good,9937,21:03.9,0.946990542,0,26.50472879
AC-071,Vistara,Boeing 747,Tail Fin,Safety,Poor,1926,21:03.9,0.22298013,1,388.5099351
AC-072,Air Asia,Boeing 747,Fuselage,Safety,Fair,5088,21:03.9,0.614032085,0,192.9839576
AC-073,Etihad,Boeing 747,Engine 1,Support,Good,1847,21:03.9,0.777425234,0,111.2873829
AC-074,Air Asia,Boeing 737,Engine 2,Support,Poor,5377,21:03.9,0.299707663,1,350.1461683
AC-075,Singapore Airlines,Boeing 747,Combustor 1,Control,Poor,7726,21:03.9,0.401843837,1,299.0780813
AC-076,Spice Jet,Boeing 747,Combustor 2,Support,Poor,7003,21:03.9,0.057607236,1,471.1963818
AC-077,Air Asia,Boeing 747,Turbine 1,Navigation,Poor,5625,21:03.9,0.612837823,1,193.5810887
AC-078,Air India,Bombardier CRJ,Turbine 2,Control,Fair,5683,21:03.9,0.943088699,0,28.45565034
AC-079,Indigo,ATR 72,Wing Flap Left,Propulsion,Poor,1045,21:03.9,0.012463888,1,493.7680561
AC-080,Indigo,Bombardier CRJ,Wing Flap Right,Support,Poor,7476,21:03.9,0.352126038,1,323.9369811
AC-081,Air India,Airbus A320,Landing Gear Front,Propulsion,Good,5712,21:03.9,0.601789999,0,199.1050005
AC-082,British Airways,Airbus A320,Landing Gear Rear,Safety,Poor,5124,21:03.9,0.463572955,1,268.2135224
AC-083,Vistara,Boeing 777,Avionics System,Safety,Poor,6930,21:03.9,0.036370028,1,481.8149862
AC-084,Spice Jet,Airbus A380,Fuel System,Support,Good,8253,21:03.9,0.962425316,0,18.78734177
AC-085,Emirates,Bombardier CRJ,Hydraulic System,Fuel,Good,4238,21:03.9,0.432027787,0,283.9861063
AC-086,Vistara,Airbus A380,Electrical System,Propulsion,Fair,5418,21:03.9,0.283110987,0,358.4445064
AC-087,Etihad,Boeing 737,Navigation System,Navigation,Good,4231,21:03.9,0.478417618,0,260.7911909
AC-088,Etihad,Boeing 747,Airframe,Fuel,Fair,8294,21:03.9,0.412520678,0,293.7396608
AC-089,Air India,Boeing 747,Nose Cone,Propulsion,Good,9875,21:03.9,0.43800989,0,280.9950552
AC-090,Etihad,Bombardier CRJ,Rudder,Safety,Poor,7280,21:03.9,0.001097026,1,499.4514868
AC-091,Singapore Airlines,Boeing 747,Elevator,Navigation,Fair,7099,21:03.9,0.249778888,0,375.1105559
AC-092,Etihad,Embraer e175,Aileron Left,Safety,Poor,5312,21:03.9,0.838725967,1,80.6370164
AC-093,Indigo,Boeing 747,Aileron Right,Support,Good,5779,21:03.9,0.092070317,0,453.9648414
AC-094,Indigo,Boeing 737,Spoilers,Propulsion,Fair,9542,21:03.9,0.023276542,0,488.3617289
AC-095,Indigo,ATR 72,Tail Fin,Safety,Good,3002,21:03.9,0.091459807,0,454.2700967
AC-096,Indigo,Airbus A320,Fuselage,Support,Poor,6505,21:03.9,0.871679987,1,64.1600063
